zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
48039,STANDARD,0,Marine City,Cottrellville,"Cottrellville Township, Cottrellville Twp",MI,St. Clair County,America/Detroit,"226, 519, 548, 586, 810",NA,US,42.71,-82.49,6720
48040,STANDARD,0,Marysville,,,MI,St. Clair County,America/Detroit,"226, 519, 548, 810",NA,US,42.91,-82.47,9390
48041,STANDARD,0,Memphis,Riley,Riley Township,MI,St. Clair County,America/Detroit,"586, 810",NA,US,42.89,-82.76,4010
48042,STANDARD,0,Macomb,,Macomb Township,MI,Macomb County,America/Detroit,586,NA,US,42.68,-82.91,33790
48043,STANDARD,0,Mount Clemens,,,MI,Macomb County,America/Detroit,586,NA,US,42.59,-82.88,12020
48044,STANDARD,0,Macomb,,"Macomb Township, Macomb Twp",MI,Macomb County,America/Detroit,586,NA,US,42.66,-82.91,56660
48045,STANDARD,0,Harrison Township,"Harrison Twp, Selfridge, Selfridge Angb","Sang, Selfridge Air Natl Guard",MI,Macomb County,America/Detroit,586,NA,US,42.58,-82.81,21920
48046,PO BOX,0,Mount Clemens,,,MI,Macomb County,America/Detroit,586,NA,US,42.59,-82.88,448
48047,STANDARD,0,New Baltimore,Chesterfield,Chesterfield Township,MI,Macomb County,America/Detroit,586,NA,US,42.68,-82.73,37610
48048,STANDARD,0,New Haven,Lenox,Lenox Township,MI,Macomb County,America/Detroit,586,NA,US,42.73,-82.79,8820
48049,STANDARD,0,North Street,"Clyde, Ruby",Clyde Township,MI,St. Clair County,America/Detroit,810,NA,US,43.03,-82.56,5160
48050,STANDARD,0,New Haven,Lenox,Lenox Township,MI,Macomb County,America/Detroit,586,NA,US,42.79,-82.8,1550
48051,STANDARD,0,New Baltimore,Chesterfield,Chesterfield Township,MI,Macomb County,America/Detroit,586,NA,US,42.69,-82.82,16830
48054,STANDARD,0,East China,China,"China Township, East China Township, East China Twp",MI,St. Clair County,America/Detroit,"226, 519, 548, 586, 810",NA,US,42.77,-82.53,6780
48059,STANDARD,0,Fort Gratiot,"Burtchville, Lakeport, N Lakeport, North Lakeport","Burtchville Township, Fort Gratiot Township",MI,St. Clair County,America/Detroit,810,NA,US,43.07,-82.49,13980
48060,STANDARD,0,Port Huron,,Port Huron Township,MI,St. Clair County,America/Detroit,"226, 519, 548, 810",NA,US,42.97,-82.42,32430
48061,PO BOX,0,Port Huron,,,MI,St. Clair County,America/Detroit,810,NA,US,42.97,-82.42,414
48062,STANDARD,0,Richmond,,Richmond Township,MI,Macomb County,America/Detroit,"586, 810",NA,US,42.8,-82.75,8870
48063,STANDARD,0,Columbus,,Columbus Township,MI,St. Clair County,America/Detroit,"586, 810",NA,US,42.85,-82.68,4090
48064,STANDARD,0,Casco,,Casco Township,MI,St. Clair County,America/Detroit,"586, 810",NA,US,42.76,-82.67,3780
48065,STANDARD,0,Romeo,"Bruce, Bruce Township, Bruce Twp",,MI,Macomb County,America/Detroit,"248, 586, 810, 947",NA,US,42.85,-83.04,10890
48066,STANDARD,0,Roseville,,,MI,Macomb County,America/Detroit,586,NA,US,42.5,-82.93,40670
48067,STANDARD,0,Royal Oak,,,MI,Oakland County,America/Detroit,"248, 947",NA,US,42.5,-83.15,20870
48068,PO BOX,0,Royal Oak,,,MI,Oakland County,America/Detroit,248,NA,US,42.5,-83.15,404
48069,STANDARD,0,Pleasant Ridge,Pleasant Rdg,,MI,Oakland County,America/Detroit,"248, 947",NA,US,42.47,-83.14,2540
